pc_timestamp,arduino_time_s,humidity_rh
2026-05-18T14:44:05,130.01,51.21
2026-05-18T14:44:06,131.01,50.92
2026-05-18T14:44:07,132.01,50.68
2026-05-18T14:44:08,133.01,50.4
2026-05-18T14:44:09,134.01,50.14
2026-05-18T14:44:10,135.01,49.86
2026-05-18T14:44:11,136.01,49.64
2026-05-18T14:44:12,137.01,49.51
2026-05-18T14:44:13,138.01,49.38
2026-05-18T14:44:14,139.01,49.23
2026-05-18T14:44:15,140.01,49.05
2026-05-18T14:44:16,141.01,48.86
2026-05-18T14:44:17,142.01,48.69
2026-05-18T14:44:18,143.01,48.55
2026-05-18T14:44:19,144.01,48.42
2026-05-18T14:44:20,145.01,48.21
2026-05-18T14:44:21,146.01,48.08
2026-05-18T14:44:22,147.01,47.96
2026-05-18T14:44:23,148.01,47.95
2026-05-18T14:44:24,149.01,47.85
2026-05-18T14:44:25,150.01,47.83
2026-05-18T14:44:26,151.01,47.76
2026-05-18T14:44:27,152.01,47.75
2026-05-18T14:44:28,153.01,47.7
2026-05-18T14:44:29,154.01,47.63
2026-05-18T14:44:30,155.01,47.61
2026-05-18T14:44:31,156.01,47.59
2026-05-18T14:44:32,157.01,47.53
2026-05-18T14:44:33,158.01,47.5
2026-05-18T14:44:34,159.01,47.49
2026-05-18T14:44:35,160.01,47.44
2026-05-18T14:44:36,161.01,47.35
2026-05-18T14:44:37,162.01,47.27
2026-05-18T14:44:38,163.01,47.19
2026-05-18T14:44:39,164.01,47.08
2026-05-18T14:44:40,165.01,46.99
2026-05-18T14:44:41,166.01,46.88
2026-05-18T14:44:42,167.01,46.81
2026-05-18T14:44:43,168.01,46.74
2026-05-18T14:44:44,169.01,46.66
2026-05-18T14:44:45,170.01,46.6
2026-05-18T14:44:46,171.01,46.54
2026-05-18T14:44:47,172.01,46.52
2026-05-18T14:44:48,173.01,46.51
2026-05-18T14:44:49,174.01,46.51
2026-05-18T14:44:50,175.01,46.44
2026-05-18T14:44:51,176.01,46.35
2026-05-18T14:44:52,177.01,46.35
2026-05-18T14:44:53,178.01,46.3
2026-05-18T14:44:54,179.01,46.26
2026-05-18T14:44:55,180.01,46.27
2026-05-18T14:44:56,181.01,46.21
2026-05-18T14:44:57,182.01,46.21
2026-05-18T14:44:58,183.01,46.16
2026-05-18T14:44:59,184.01,46.14
